occupied,azimuth,elevation,strength,current_score,proposed_score,global_hard_score,canonical_hard_score,canonical_soft_score,current_edges,proposed_edges,current_maximum,proposed_maximum
0,300,15,0.650000,0.210913,0.160223,0.192190,0.218210,0.162993,216,226,203,151.125000
0,300,15,0.850000,0.212350,0.178067,0.208375,0.220555,0.186854,256,259,264,199.125000
0,300,15,1,0.219232,0.182011,0.220842,0.219362,0.193597,272,275,308,230.250000
0,300,15,1.150000,0.205624,0.186884,0.208778,0.238768,0.202519,279,286,356,266.625000
0,300,15,1.350000,0.214593,0.189339,0.209330,0.237590,0.205581,291,293,413,311.250000
0,330,15,0.650000,0.437956,0.470023,0.494979,0.514981,0.469996,207,227,270,231.875000
0,330,15,0.850000,0.380481,0.448530,0.459980,0.498194,0.454627,254,264,349,299.625000
0,330,15,1,0.386197,0.440921,0.457958,0.502669,0.449689,273,276,404,349.375000
0,330,15,1.150000,0.382246,0.439102,0.458325,0.489853,0.447309,282,282,462,396.750000
0,330,15,1.350000,0.373307,0.432267,0.455715,0.470837,0.443244,289,293,541,460.875000
0,0,25,0.650000,0.715041,0.724632,0.764505,0.777571,0.744481,201,205,332,283.250000
0,0,25,0.850000,0.692979,0.709968,0.744205,0.763004,0.729725,227,245,426,365.375000
0,0,25,1,0.656768,0.706706,0.739866,0.756031,0.726099,252,262,498,425
0,0,25,1.150000,0.650428,0.700929,0.740109,0.755992,0.720423,267,274,571,489.250000
0,0,25,1.350000,0.640518,0.703610,0.737395,0.754861,0.721752,274,279,666,568
0,30,25,0.650000,0.620678,0.632771,0.689115,0.692200,0.658130,211,219,336,272.250000
0,30,25,0.850000,0.597661,0.614809,0.671800,0.672849,0.643247,237,255,436,356.500000
0,30,25,1,0.579464,0.613478,0.668451,0.671289,0.643383,259,273,509,417.750000
0,30,25,1.150000,0.556576,0.610674,0.662277,0.670070,0.641425,274,280,585,480.625000
0,30,25,1.350000,0.545867,0.609566,0.664215,0.661567,0.642419,285,291,686,562.875000
0,60,25,0.650000,0.309096,0.323083,0.354931,0.372580,0.347918,234,244,298,223
0,60,25,0.850000,0.276393,0.302405,0.333169,0.343202,0.321989,267,273,388,289.875000
0,60,25,1,0.280390,0.301774,0.339999,0.338620,0.313473,279,283,454,339
0,60,25,1.150000,0.272066,0.298845,0.335628,0.335863,0.308894,285,293,521,389.125000
0,60,25,1.350000,0.276577,0.297629,0.335295,0.333567,0.303413,294,297,609,455.250000
0,90,25,0.650000,0.225092,0.244839,0.244519,0.266033,0.242623,210,229,194,159
0,90,25,0.850000,0.232976,0.280249,0.279045,0.304359,0.289054,242,256,250,206.875000
0,90,25,1,0.264161,0.299401,0.319265,0.333604,0.307214,257,268,289,239.625000
0,90,25,1.150000,0.273063,0.313488,0.325503,0.342775,0.317870,271,281,337,278.250000
0,90,25,1.350000,0.288440,0.324468,0.340916,0.351446,0.323750,281,290,394,326.500000
0,120,25,0.650000,0.192189,0.174020,0.215115,0.219727,0.169507,228,235,235,171.250000
0,120,25,0.850000,0.188488,0.173994,0.201816,0.240806,0.176354,262,266,297,215.125000
0,120,25,1,0.213351,0.183661,0.230307,0.248007,0.188695,275,278,347,249.500000
0,120,25,1.150000,0.233785,0.193139,0.247425,0.246189,0.196926,284,290,395,282.500000
0,120,25,1.350000,0.222641,0.202198,0.237232,0.253939,0.206564,292,295,453,325.625000
0,150,25,0.650000,0.417475,0.441812,0.475413,0.483247,0.446091,236,249,298,255.500000
0,150,25,0.850000,0.380170,0.436714,0.463025,0.478318,0.440758,268,269,385,327
0,150,25,1,0.371653,0.432661,0.457589,0.469282,0.438277,273,279,447,378.375000
0,150,25,1.150000,0.365036,0.432797,0.460605,0.483268,0.443017,279,283,512,435.250000
0,150,25,1.350000,0.349118,0.431601,0.457263,0.468706,0.440893,288,291,596,505.375000
0,180,25,0.650000,0.715311,0.698445,0.728554,0.766541,0.733354,199,212,332,283
0,180,25,0.850000,0.701600,0.688911,0.723025,0.752215,0.724555,232,247,433,365.375000
0,180,25,1,0.669786,0.687019,0.721776,0.751984,0.724080,252,261,502,426.250000
0,180,25,1.150000,0.638641,0.685143,0.716355,0.754155,0.721833,265,270,574,487.125000
0,180,25,1.350000,0.620882,0.685381,0.711048,0.760645,0.721313,278,279,670,569.125000
0,210,25,0.650000,0.607342,0.634193,0.665091,0.699836,0.657734,212,222,337,276.375000
0,210,25,0.850000,0.580821,0.613473,0.645548,0.685592,0.642850,241,253,437,358.875000
0,210,25,1,0.558430,0.606934,0.642581,0.681969,0.638133,260,271,514,422.125000
0,210,25,1.150000,0.550860,0.604346,0.643200,0.678674,0.637870,272,282,586,481.625000
0,210,25,1.350000,0.534071,0.602536,0.638891,0.670480,0.636441,285,293,690,566.875000
0,240,25,0.650000,0.316731,0.323134,0.360624,0.349687,0.334702,235,244,302,224.500000
0,240,25,0.850000,0.278789,0.301773,0.351508,0.322091,0.311470,270,275,390,290.625000
0,240,25,1,0.258627,0.295501,0.340054,0.315926,0.303127,284,285,461,342.875000
0,240,25,1.150000,0.260089,0.294037,0.339636,0.314075,0.298967,285,293,529,393.375000
0,240,25,1.350000,0.251514,0.295206,0.336901,0.318414,0.296682,293,298,618,459.875000
0,270,25,0.650000,0.236162,0.255306,0.259659,0.287460,0.249349,207,227,188,156.750000
0,270,25,0.850000,0.272529,0.289898,0.309414,0.332699,0.284523,242,258,243,202.375000
0,270,25,1,0.293531,0.308526,0.333360,0.344526,0.306116,256,268,285,238.125000
0,270,25,1.150000,0.296918,0.317045,0.334457,0.346188,0.317583,269,277,324,270.875000
0,270,25,1.350000,0.313067,0.332735,0.347628,0.366506,0.332496,277,287,382,318.250000
0,300,25,0.650000,0.198994,0.150445,0.199838,0.187896,0.146218,234,241,229,167.125000
0,300,25,0.850000,0.208712,0.171909,0.208842,0.196904,0.166577,262,268,292,211.375000
0,300,25,1,0.219252,0.181621,0.213342,0.215577,0.176488,278,278,339,243.375000
0,300,25,1.150000,0.226761,0.188096,0.216878,0.217796,0.182818,283,287,387,276.250000
0,300,25,1.350000,0.238856,0.197865,0.242098,0.230437,0.192430,289,293,450,322.250000
0,330,25,0.650000,0.408919,0.456506,0.480705,0.502335,0.453041,235,250,297,252.125000
0,330,25,0.850000,0.357782,0.447415,0.464523,0.498138,0.452436,268,270,382,326.500000
0,330,25,1,0.355576,0.444154,0.464408,0.492635,0.450072,277,276,443,381
0,330,25,1.150000,0.355748,0.440810,0.465052,0.482235,0.446682,282,283,506,433.875000
0,330,25,1.350000,0.350476,0.442712,0.461583,0.479150,0.449042,286,289,593,507.125000
0,0,35,0.650000,0.660871,0.662729,0.702991,0.719057,0.686376,208,219,345,293.375000
0,0,35,0.850000,0.615841,0.652101,0.693354,0.708362,0.672873,243,258,442,377.500000
0,0,35,1,0.576568,0.648831,0.682684,0.704176,0.668919,268,275,516,443.500000
0,0,35,1.150000,0.579468,0.649946,0.689892,0.703689,0.669756,279,281,592,506.500000
0,0,35,1.350000,0.573385,0.652925,0.685181,0.711457,0.672712,284,287,688,592.625000
0,30,35,0.650000,0.580492,0.595115,0.647997,0.650161,0.623132,217,227,341,283.500000
0,30,35,0.850000,0.561262,0.590873,0.641934,0.637021,0.617397,245,257,441,367.250000
0,30,35,1,0.569964,0.591293,0.657523,0.635792,0.616603,265,272,517,430.750000
0,30,35,1.150000,0.548913,0.588130,0.655210,0.631094,0.613282,274,282,595,494.375000
0,30,35,1.350000,0.541846,0.589941,0.661844,0.633922,0.616067,288,292,699,580.250000
0,60,35,0.650000,0.284432,0.308007,0.341285,0.363411,0.329200,234,247,305,227.500000
0,60,35,0.850000,0.252906,0.292052,0.315763,0.338409,0.309768,266,273,397,296.375000
0,60,35,1,0.257463,0.290605,0.321870,0.334891,0.308083,277,284,464,345.875000
0,60,35,1.150000,0.256026,0.290984,0.320939,0.343428,0.304344,282,292,536,400.375000
0,60,35,1.350000,0.257469,0.292860,0.327019,0.341120,0.303949,292,294,626,467.250000
0,90,35,0.650000,0.228782,0.179261,0.213820,0.243261,0.185726,209,223,196,149.875000
0,90,35,0.850000,0.194960,0.217383,0.232140,0.257230,0.217540,235,253,244,192.875000
0,90,35,1,0.208236,0.233255,0.226851,0.275578,0.232818,250,264,283,225.625000
0,90,35,1.150000,0.237613,0.242265,0.247891,0.276277,0.240873,262,271,318,261.750000
0,90,35,1.350000,0.239704,0.249098,0.249633,0.280095,0.252543,273,283,373,305.500000
0,120,35,0.650000,0.169742,0.136872,0.174248,0.176417,0.123875,225,230,238,178
0,120,35,0.850000,0.156415,0.140593,0.181995,0.149844,0.129373,260,269,302,224.500000
0,120,35,1,0.169566,0.145771,0.190400,0.159508,0.138662,273,278,349,257.125000
0,120,35,1.150000,0.191617,0.151889,0.197387,0.170584,0.147027,279,283,399,294
0,120,35,1.350000,0.206514,0.160748,0.218385,0.185255,0.158098,288,289,461,337.875000
0,150,35,0.650000,0.370069,0.424840,0.440985,0.442728,0.422166,239,250,292,249
0,150,35,0.850000,0.363399,0.419836,0.442345,0.441345,0.416636,264,270,374,319
0,150,35,1,0.378736,0.419721,0.453875,0.440720,0.418067,273,276,437,372.625000
0,150,35,1.150000,0.360394,0.414638,0.436897,0.440801,0.414846,279,285,501,426.125000
0,150,35,1.350000,0.367338,0.415755,0.447438,0.440182,0.415812,288,291,583,499.250000
0,180,35,0.650000,0.668037,0.657694,0.695251,0.716524,0.683779,211,227,343,293.875000
0,180,35,0.850000,0.630006,0.650064,0.687732,0.709556,0.675313,246,256,443,377.375000
0,180,35,1,0.603019,0.642561,0.678617,0.693360,0.666159,263,274,512,442
0,180,35,1.150000,0.590593,0.646704,0.685880,0.692902,0.670473,276,276,587,506.875000
0,180,35,1.350000,0.585684,0.647571,0.689264,0.695130,0.671039,279,283,686,593.375000
0,210,35,0.650000,0.557012,0.594919,0.620982,0.650551,0.621942,221,229,343,285.500000
0,210,35,0.850000,0.557106,0.590795,0.627393,0.648778,0.616027,247,258,448,372.375000
0,210,35,1,0.534902,0.584262,0.620297,0.636786,0.607906,264,276,524,435.875000
0,210,35,1.150000,0.523479,0.582217,0.625263,0.628604,0.607569,277,286,602,500.125000
0,210,35,1.350000,0.512775,0.584973,0.624093,0.641889,0.610084,290,293,703,584.250000
0,240,35,0.650000,0.279567,0.303316,0.337677,0.356715,0.320550,236,250,307,228.875000
0,240,35,0.850000,0.256649,0.287462,0.314910,0.331448,0.304675,270,279,398,297.375000
0,240,35,1,0.245447,0.287505,0.306712,0.332945,0.303479,281,286,468,348.625000
0,240,35,1.150000,0.253188,0.282418,0.313993,0.325444,0.298707,285,289,537,400.125000
0,240,35,1.350000,0.245266,0.284856,0.310547,0.323103,0.297396,289,295,627,467.625000
0,270,35,0.650000,0.250923,0.169098,0.183207,0.231576,0.186732,203,225,200,153.375000
0,270,35,0.850000,0.225261,0.213629,0.237111,0.276273,0.217139,241,252,247,191.625000
0,270,35,1,0.239010,0.230027,0.246098,0.254370,0.225572,254,262,286,225.500000
0,270,35,1.150000,0.254458,0.243674,0.257040,0.260977,0.238407,263,274,321,254.375000
0,270,35,1.350000,0.263165,0.255354,0.267881,0.268844,0.247381,277,280,371,299.125000
0,300,35,0.650000,0.166052,0.077318,0.113922,0.084349,0.068944,226,235,232,174.500000
0,300,35,0.850000,0.128087,0.098600,0.122698,0.102337,0.087194,260,267,293,217.875000
0,300,35,1,0.165016,0.114027,0.161900,0.125400,0.101852,278,278,344,250.875000
0,300,35,1.150000,0.160458,0.126869,0.168833,0.152629,0.114850,281,285,391,285.375000
0,300,35,1.350000,0.166879,0.135656,0.181708,0.155429,0.129447,290,291,454,329.625000
0,330,35,0.650000,0.375967,0.441678,0.463873,0.473394,0.436100,239,244,297,248.875000
0,330,35,0.850000,0.346877,0.428964,0.451272,0.470060,0.424487,268,269,379,321.250000
0,330,35,1,0.340116,0.427774,0.446928,0.474615,0.424507,274,278,439,373.375000
0,330,35,1.150000,0.351195,0.429654,0.450921,0.477982,0.428878,282,285,501,425.750000
0,330,35,1.350000,0.349508,0.429180,0.449029,0.478382,0.427226,286,291,584,497.875000
0,0,45,0.650000,0.612634,0.615955,0.658318,0.667457,0.631555,209,225,327,278.875000
0,0,45,0.850000,0.553461,0.604474,0.645231,0.649824,0.616395,246,260,415,356.875000
0,0,45,1,0.539776,0.610460,0.650530,0.659852,0.622366,265,274,487,420.750000
0,0,45,1.150000,0.535659,0.607543,0.651161,0.661383,0.620585,275,284,555,479.375000
0,0,45,1.350000,0.537370,0.611100,0.653462,0.659010,0.623813,287,291,647,560.125000
0,30,45,0.650000,0.539003,0.557379,0.616158,0.633234,0.585735,215,231,326,271
0,30,45,0.850000,0.508779,0.553602,0.611831,0.617973,0.576404,248,252,421,351
0,30,45,1,0.493504,0.547506,0.600119,0.600173,0.569422,261,274,492,409.500000
0,30,45,1.150000,0.472352,0.544413,0.595332,0.593845,0.566118,274,285,565,470.625000
0,30,45,1.350000,0.455463,0.547144,0.591735,0.594719,0.568425,288,293,661,551
0,60,45,0.650000,0.269926,0.294695,0.313769,0.337709,0.313777,220,238,276,212.625000
0,60,45,0.850000,0.255578,0.282134,0.306795,0.317584,0.304162,260,264,360,267.500000
0,60,45,1,0.238062,0.273698,0.300251,0.311781,0.296161,270,276,421,312.875000
0,60,45,1.150000,0.230427,0.271106,0.299381,0.319843,0.295451,276,285,485,360
0,60,45,1.350000,0.235879,0.271383,0.307720,0.317804,0.292529,286,292,564,419
0,90,45,0.650000,0.250923,0.157811,0.206251,0.214267,0.159233,203,223,200,152.750000
0,90,45,0.850000,0.215026,0.176155,0.214979,0.223852,0.174365,228,244,249,193.875000
0,90,45,1,0.233107,0.179934,0.208885,0.225427,0.179679,250,260,289,220.125000
0,90,45,1.150000,0.230528,0.183553,0.215104,0.219434,0.185766,260,270,327,251.375000
0,90,45,1.350000,0.223630,0.191956,0.219837,0.213904,0.193774,270,279,380,285.625000
0,120,45,0.650000,0.221402,0.148444,0.180985,0.157362,0.133426,211,226,236,181
0,120,45,0.850000,0.163399,0.136573,0.184567,0.152615,0.131391,249,255,294,224.625000
0,120,45,1,0.144348,0.129109,0.154469,0.156285,0.126338,262,276,341,259.125000
0,120,45,1.150000,0.146602,0.123529,0.165406,0.143127,0.123942,277,281,391,296
0,120,45,1.350000,0.143523,0.120511,0.159320,0.151691,0.120033,285,286,450,340
0,150,45,0.650000,0.394141,0.400504,0.436923,0.416997,0.391067,229,238,267,226.875000
0,150,45,0.850000,0.342196,0.391381,0.419899,0.424045,0.388689,253,264,345,292.500000
0,150,45,1,0.334699,0.387086,0.409829,0.407863,0.383584,273,278,401,339.125000
0,150,45,1.150000,0.325866,0.386336,0.404156,0.413122,0.382678,281,284,455,387.250000
0,150,45,1.350000,0.337664,0.384063,0.406516,0.411185,0.380757,286,290,532,452.500000
0,180,45,0.650000,0.601686,0.613629,0.646062,0.685923,0.638436,211,228,322,274.375000
0,180,45,0.850000,0.563790,0.602827,0.638022,0.667888,0.624909,249,261,416,355.125000
0,180,45,1,0.557495,0.603324,0.641475,0.660147,0.623718,259,273,482,414.250000
0,180,45,1.150000,0.553090,0.605721,0.644196,0.659034,0.623540,275,280,552,474.250000
0,180,45,1.350000,0.549984,0.609255,0.647960,0.655302,0.624856,285,285,648,554.250000
0,210,45,0.650000,0.518920,0.562713,0.588858,0.604319,0.575566,220,233,328,272.375000
0,210,45,0.850000,0.485751,0.548775,0.579269,0.607611,0.567767,249,257,424,352.125000
0,210,45,1,0.487551,0.545548,0.579367,0.599926,0.565788,261,276,497,412.625000
0,210,45,1.150000,0.458182,0.541381,0.572202,0.595020,0.560518,281,289,567,470.750000
0,210,45,1.350000,0.438761,0.543995,0.567941,0.596166,0.563254,292,293,662,550.750000
0,240,45,0.650000,0.260091,0.290952,0.314532,0.354935,0.308043,227,240,280,209.125000
0,240,45,0.850000,0.243486,0.277341,0.307154,0.354760,0.299363,262,267,362,268.875000
0,240,45,1,0.258262,0.271414,0.305204,0.340958,0.292959,273,278,423,314.250000
0,240,45,1.150000,0.265163,0.267062,0.302089,0.342298,0.289405,284,289,482,358.250000
0,240,45,1.350000,0.262485,0.265610,0.305815,0.332487,0.288459,292,293,566,420.375000
0,270,45,0.650000,0.247232,0.119430,0.157411,0.225142,0.154160,204,223,206,159
0,270,45,0.850000,0.206957,0.153573,0.179125,0.254510,0.170788,234,250,254,197.125000
0,270,45,1,0.210477,0.166624,0.192522,0.257370,0.182209,254,263,294,226.250000
0,270,45,1.150000,0.215768,0.171240,0.188948,0.256701,0.186746,260,267,333,258.500000
0,270,45,1.350000,0.218467,0.179585,0.183919,0.248490,0.190109,269,281,387,297.375000
0,300,45,0.650000,0.202952,0.057351,0.096022,0.105858,0.063509,216,223,229,176.500000
0,300,45,0.850000,0.072590,0.019896,0.063226,0.063769,0.022639,253,262,290,220.625000
0,300,45,1,0,0,0,0,0,271,274,336,256.625000
0,300,45,1.150000,0.054253,0.022062,0.045808,0.045128,0.019861,279,283,379,287.375000
0,300,45,1.350000,0.064778,0.030926,0.061136,0.060200,0.028583,283,285,443,334.250000
0,330,45,0.650000,0.369357,0.415490,0.446943,0.443195,0.401010,230,237,273,228
0,330,45,0.850000,0.332547,0.397664,0.423402,0.423817,0.385010,258,263,353,293
0,330,45,1,0.325834,0.398732,0.423533,0.434006,0.388342,269,275,410,343.250000
0,330,45,1.150000,0.318272,0.394247,0.420654,0.436810,0.388187,282,285,465,390.750000
0,330,45,1.350000,0.305116,0.392796,0.411249,0.437180,0.388944,287,293,541,456.625000
0,0,60,0.650000,0.458281,0.480825,0.510892,0.533395,0.504103,201,222,269,221.500000
0,0,60,0.850000,0.401970,0.469264,0.486266,0.526393,0.492527,242,251,344,282.750000
0,0,60,1,0.398684,0.466347,0.485713,0.522779,0.490880,254,264,399,329
0,0,60,1.150000,0.392351,0.468812,0.493570,0.525329,0.492147,266,271,458,378
0,0,60,1.350000,0.387561,0.473320,0.501264,0.525496,0.493704,276,284,532,440.750000
0,30,60,0.650000,0.473085,0.476690,0.525639,0.506099,0.463141,199,223,266,215.625000
0,30,60,0.850000,0.448954,0.462438,0.509152,0.489294,0.453594,237,248,343,276.750000
0,30,60,1,0.416529,0.459125,0.501801,0.484625,0.453280,257,265,396,319.125000
0,30,60,1.150000,0.409594,0.454665,0.491956,0.486614,0.450954,271,278,451,364.750000
0,30,60,1.350000,0.387270,0.453513,0.485359,0.482813,0.452362,281,288,529,428.375000
0,60,60,0.650000,0.291229,0.298333,0.332651,0.363103,0.312295,195,211,221,193.625000
0,60,60,0.850000,0.259727,0.273518,0.316323,0.332968,0.285916,228,240,280,245.875000
0,60,60,1,0.257901,0.269217,0.321691,0.314616,0.278133,248,261,325,280.875000
0,60,60,1.150000,0.240088,0.261461,0.304001,0.319741,0.272270,266,273,370,318.750000
0,60,60,1.350000,0.237199,0.255135,0.290025,0.301264,0.267487,274,281,434,370.250000
0,90,60,0.650000,0.313653,0.201934,0.235345,0.259333,0.198034,186,210,201,157.500000
0,90,60,0.850000,0.238065,0.178923,0.218833,0.223948,0.176564,223,235,250,196.500000
0,90,60,1,0.245866,0.176212,0.217826,0.209056,0.172501,243,251,289,225.750000
0,90,60,1.150000,0.240236,0.173222,0.214253,0.219684,0.168878,250,259,324,254
0,90,60,1.350000,0.232969,0.171740,0.207065,0.203810,0.170066,260,268,372,293.375000
0,120,60,0.650000,0.302583,0.191338,0.246659,0.240935,0.189996,189,207,214,172.750000
0,120,60,0.850000,0.222412,0.171685,0.225784,0.236960,0.161170,223,238,271,216
0,120,60,1,0.219143,0.161358,0.227783,0.211816,0.146117,245,255,312,248.250000
0,120,60,1.150000,0.199775,0.161174,0.207573,0.203412,0.142916,266,270,357,283.250000
0,120,60,1.350000,0.200784,0.158125,0.210805,0.190270,0.141781,274,278,411,325.375000
0,150,60,0.650000,0.355442,0.369329,0.403949,0.377465,0.355003,197,217,229,197.125000
0,150,60,0.850000,0.308748,0.339323,0.369467,0.347465,0.322120,243,255,288,248
0,150,60,1,0.302700,0.332945,0.364400,0.339536,0.316986,253,273,336,289.750000
0,150,60,1.150000,0.306726,0.334215,0.373031,0.334762,0.315237,269,280,386,325.500000
0,150,60,1.350000,0.298204,0.330117,0.367257,0.328737,0.312344,284,291,447,378.625000
0,180,60,0.650000,0.440605,0.488694,0.526665,0.540879,0.496588,208,221,265,220.500000
0,180,60,0.850000,0.392531,0.473877,0.497865,0.520298,0.484177,242,251,340,278.125000
0,180,60,1,0.395739,0.474706,0.499976,0.523991,0.483024,261,265,393,322.375000
0,180,60,1.150000,0.382506,0.474056,0.493875,0.527298,0.484608,270,278,455,371.250000
0,180,60,1.350000,0.406700,0.477683,0.503497,0.522472,0.486616,278,286,528,431.125000
0,210,60,0.650000,0.465763,0.477724,0.521942,0.488622,0.448027,203,222,262,215.750000
0,210,60,0.850000,0.405676,0.461952,0.498770,0.470832,0.436702,243,257,336,273
0,210,60,1,0.387793,0.462614,0.494604,0.483087,0.441632,261,267,386,315.125000
0,210,60,1.150000,0.404619,0.461090,0.499176,0.479170,0.442416,270,277,441,356.500000
0,210,60,1.350000,0.384346,0.454056,0.490409,0.486598,0.439121,285,296,517,418.250000
0,240,60,0.650000,0.323518,0.308654,0.359195,0.343657,0.313919,199,213,221,195.125000
0,240,60,0.850000,0.255097,0.278462,0.318523,0.320190,0.284828,236,251,281,250.750000
0,240,60,1,0.256719,0.268359,0.322294,0.313195,0.276656,254,267,327,287.250000
0,240,60,1.150000,0.265077,0.264444,0.325714,0.305114,0.273983,268,277,378,324.875000
0,240,60,1.350000,0.264763,0.266673,0.326949,0.297938,0.276120,277,283,440,374.125000
0,270,60,0.650000,0.298893,0.158894,0.207822,0.230287,0.188503,190,209,207,162.375000
0,270,60,0.850000,0.226151,0.143308,0.211731,0.238050,0.196678,223,239,258,205.125000
0,270,60,1,0.234650,0.137471,0.199649,0.234670,0.193234,244,259,293,234.500000
0,270,60,1.150000,0.226093,0.137801,0.186852,0.233003,0.195844,258,265,332,261.125000
0,270,60,1.350000,0.227634,0.132319,0.182972,0.246602,0.188141,270,275,385,304.875000
0,300,60,0.650000,0.276753,0.180613,0.237557,0.232780,0.168720,196,206,211,169.750000
0,300,60,0.850000,0.186531,0.150779,0.201865,0.208154,0.138822,231,243,269,214.625000
0,300,60,1,0.152236,0.135030,0.178049,0.211496,0.127070,250,256,314,249
0,300,60,1.150000,0.158132,0.130073,0.182653,0.205936,0.120719,260,269,351,279.125000
0,300,60,1.350000,0.155978,0.120335,0.177907,0.195467,0.117579,274,281,411,325.375000
0,330,60,0.650000,0.341653,0.367498,0.397417,0.390915,0.371549,199,215,231,194.250000
0,330,60,0.850000,0.301848,0.334427,0.366229,0.374422,0.339761,241,258,300,246.375000
0,330,60,1,0.271225,0.328569,0.363706,0.361806,0.334773,263,271,345,284.250000
0,330,60,1.150000,0.269224,0.328404,0.357450,0.358500,0.335488,273,280,388,320.875000
0,330,60,1.350000,0.266808,0.325102,0.351065,0.354916,0.331391,282,291,454,374.125000
0,0,75,0.650000,0.382669,0.364635,0.417031,0.370799,0.355763,182,198,209,182.625000
